"pmcid";"pmid";"doi";"file_path_PMC";"pdf_file_path_PMC";"year";"type";"ISSN";"eISSN";"FoR_col";"FoR";"FoR_category";"approp";"bar";"bardot";"box";"dot";"flowno";"flowyes";"hist";"other";"pie";"text";"violin";"pdf_downloaded"
"PMC4604000";"25867065";"10.1038/onc.2015.97";"oa_package/05/65/PMC4604000.tar.gz";NA;"2016";"research-article";"0950-9232";"1476-5594";"FoR_1";"1112";"1112 - Oncology and Carcinogenesis";"0";"5";"0";"0";"0";"1";"0";"1";"1";"0";"12";"0";TRUE
"PMC7660175";"33105880";"10.3390/ijerph17217737";"oa_package/cb/bd/PMC7660175.tar.gz";NA;"2020";"research-article";"1661-7827";"1660-4601";"FoR_1";"MD";"MD - Multidisciplinary";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"17";"0";TRUE
"PMC6680350";"28960374";"10.1002/hep.29561";"oa_package/c4/1a/PMC6680350.tar.gz";"oa_pdf/c4/1a/HEP-67-662.PMC6680350.pdf";"2018";"research-article";"0270-9139";"1527-3350";"FoR_1";"1101";"1101 - Medical Biochemistry and Metabolomics";"1";"2";"0";"0";"0";"1";"0";"0";"1";"0";"9";"0";TRUE
"PMC3307250";"22448159";"10.3389/fninf.2012.00005";"oa_package/bc/3e/PMC3307250.tar.gz";NA;"2012";"research-article";NA;"1662-5196";"FoR_1";"1109";"1109 - Neurosciences";"0";"2";"0";"0";"0";"1";"0";"0";"4";"0";"6";"0";TRUE
"PMC5415516";"28480018";"10.1002/ece3.2849";"oa_package/bc/f3/PMC5415516.tar.gz";NA;"2017";"research-article";NA;"2045-7758";"FoR_1";"0603";"0603 - Evolutionary Biology";"0";"0";"0";"0";"0";"1";"1";"0";"3";"0";"6";"0";TRUE
"PMC3261428";"22303410";"10.3389/fgene.2012.00004";"oa_package/b1/f5/PMC3261428.tar.gz";"oa_pdf/b1/f5/fgene-03-00004.PMC3261428.pdf";"2012";"research-article";NA;"1664-8021";"FoR_1";"0604";"0604 - Genetics";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"10";"0";TRUE
"PMC4912417";"27239787";"10.1038/nchembio.2097";"oa_package/d5/f6/PMC4912417.tar.gz";NA;"2016";"research-article";"1552-4450";"1552-4469";"FoR_1";"0601";"0601 - Biochemistry and Cell Biology";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"17";"0";TRUE
"PMC6759695";"31579503";"10.1177/2042098619876737";"oa_package/64/3f/PMC6759695.tar.gz";"oa_pdf/64/3f/10.1177_2042098619876737.PMC6759695.pdf";"2019";"research-article";"2042-0986";"2042-0994";"FoR_1";"1115";"1115 - Pharmacology and Pharmaceutical Sciences";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"8";"0";TRUE
"PMC3914313";"24527049";"10.1155/2014/605714";"oa_package/ce/b6/PMC3914313.tar.gz";NA;"2014";"research-article";"1741-427X";"1741-4288";"FoR_1";"1104";"1104 - Complementary and Alternative Medicine";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"5";"0";TRUE
"PMC3401894";"23372423";"10.2174/138920212801619223";"oa_package/6e/92/PMC3401894.tar.gz";NA;"2012";"research-article";"1389-2029";"1875-5488";"FoR_1";"0604";"0604 - Genetics";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"9";"0";TRUE
"PMC6601574";"31070290";"10.1002/cam4.2217";"oa_package/ff/a3/PMC6601574.tar.gz";NA;"2019";"research-article";NA;"2045-7634";"FoR_2";"1112";"1112 - Oncology and Carcinogenesis";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"8";"0";TRUE
"PMC4407394";"25888917";"10.1186/s13071-015-0834-1";"oa_package/5c/09/PMC4407394.tar.gz";NA;"2015";"research-article";NA;"1756-3305";"FoR_1";"1108";"1108 - Medical Microbiology";"0";"0";"0";"0";"0";"1";"0";"0";"4";"0";"11";"0";TRUE
"PMC6829084";"31686436";"10.14791/btrt.2019.7.e42";"oa_package/fc/e2/PMC6829084.tar.gz";"oa_pdf/fc/e2/btrt-7-63.PMC6829084.pdf";"2019";"research-article";"2288-2405";"2288-2413";"FoR_1";NA;NA;"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"7";"0";TRUE
"PMC4151235";"25228853";"10.3389/fnins.2014.00262";"oa_package/bd/4e/PMC4151235.tar.gz";NA;"2014";"research-article";"1662-4548";"1662-453X";"FoR_1";"1109";"1109 - Neurosciences";"0";"0";"0";"0";"0";"3";"0";"0";"6";"0";"7";"0";TRUE
